subject,relationship_imp,relationship,emotion_type,action,emotion_intensity,mb_violation_us,mb_violation_cn,perspective,culture
1,100,teach,guilt,ComplainTroubles,44.5,13250.89674,13464.25104,patient,usa
1,100,teach,guilt,NoInvest4Needs,33.5,15320.72711,15651.0526,patient,usa
1,100,teach,guilt,NoTimeCompany,7,14098.48038,14427.2599,patient,usa
1,100,teach,guilt,ExpressDisagree,9.5,14375.69537,14146.27708,patient,usa
1,100,teach,guilt,RefuseTaskInstruct,0,15686.55432,15258.2151,patient,usa
1,100,teach,guilt,PursueOwnAction,0,15501.73686,15142.56563,patient,usa
1,100,teach,guilt,AvoidSex,0,9007.2328,10350.73073,patient,usa
1,100,teach,guilt,DateOthers,0,12933.55396,13811.09167,patient,usa
1,100,teach,guilt,InvestRelationship,0,13181.17714,14305.84531,patient,usa
1,100,teach,guilt,NoShareReward,32,15403.90667,15677.87448,patient,usa
1,100,teach,guilt,RefuseCompensation,47.5,9260.780099,9622.836979,patient,usa
1,100,teach,guilt,NoCompensate4Help,1.5,12450.52889,12882.23646,patient,usa
4,34,housemate,guilt,ComplainTroubles,50,12903.50363,14427.54241,patient,usa
4,34,housemate,guilt,NoInvest4Needs,50,15179.14423,16790.22063,patient,usa
4,34,housemate,guilt,NoTimeCompany,50,13876.29736,15515.91841,patient,usa
4,34,housemate,guilt,ExpressDisagree,0,13152.43438,15103.11419,patient,usa
4,34,housemate,guilt,RefuseTaskInstruct,60,14202.76214,16313.4933,patient,usa
4,34,housemate,guilt,PursueOwnAction,0,14062.94773,16176.04581,patient,usa
4,34,housemate,guilt,AvoidSex,0,8578.461149,11548.08723,patient,usa
4,34,housemate,guilt,DateOthers,0,12315.06713,15068.84187,patient,usa
4,34,housemate,guilt,InvestRelationship,0,12683.82125,16297.9113,patient,usa
4,34,housemate,guilt,NoShareReward,35,14486.22202,17333.42961,patient,usa
4,34,housemate,guilt,RefuseCompensation,45,8175.874909,11021.83508,patient,usa
4,34,housemate,guilt,NoCompensate4Help,15,11629.61519,14508.84702,patient,usa
6,1,dr,guilt,ComplainTroubles,0,11968.67442,12295.14163,patient,usa
6,1,dr,guilt,NoInvest4Needs,0,13838.48256,14401.63829,patient,usa
6,1,dr,guilt,NoTimeCompany,0,12817.10447,13231.86696,patient,usa
6,1,dr,guilt,ExpressDisagree,0,13065.0731,12525.66363,patient,usa
6,1,dr,guilt,RefuseTaskInstruct,0,14378.03731,13408.5829,patient,usa
6,1,dr,guilt,PursueOwnAction,0,14154.45143,13335.51902,patient,usa
6,1,dr,guilt,AvoidSex,0,8757.862645,9443.766579,patient,usa
6,1,dr,guilt,DateOthers,0,12071.53301,12535.96967,patient,usa
6,1,dr,guilt,InvestRelationship,0,13759.47662,12859.61862,patient,usa
6,1,dr,guilt,NoShareReward,19,15120.32746,13953.16845,patient,usa
6,1,dr,guilt,RefuseCompensation,0,9919.789608,8273.568709,patient,usa
6,1,dr,guilt,NoCompensate4Help,20,12762.65649,11389.92236,patient,usa
8,80,closefr,guilt,ComplainTroubles,0,13009.91679,14568.86428,patient,usa
8,80,closefr,guilt,NoInvest4Needs,0,15527.707,17063.08669,patient,usa
